Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
1088.0,-3.61,-3.01,10.74,4.17
1090.0,-3.57,-3.07,9.72,4.15
1093.0,-3.63,-3.67,9.05,4.19
1095.0,-3.82,-4.05,8.66,4.19
1098.0,-4.4,-4.64,8.36,4.19
1100.0,-4.83,-4.88,8.4,4.19
1103.0,-5.04,-5.05,8.56,4.17
1105.0,-4.52,-3.78,8.28,4.19
1108.0,-5.3,-1.72,10.35,4.2
1110.0,-5.34,-5.68,7.35,4.19
1113.0,-6.06,-5.67,4.39,4.17
1115.0,-5.03,-3.56,10.32,4.19
1118.0,-5.28,-2.0,10.42,4.19
1120.0,-4.99,-1.22,8.66,4.18
1123.0,-4.48,-1.17,7.97,4.19
1125.0,-5.26,-2.01,6.21,4.17
1128.0,-5.7,-2.39,7.0,4.17
1130.0,-5.22,-2.4,9.12,4.17
1140.0,-3.99,-3.24,6.75,4.19
1143.0,-4.19,-3.56,6.86,4.19
1145.0,-4.43,-3.82,6.9,4.19
1148.0,-4.51,-4.12,6.69,4.2
1150.0,-4.5,-4.23,6.64,4.19
1153.0,-4.36,-4.0,7.0,4.19
1155.0,-4.2,-3.71,7.01,4.17
1158.0,-3.94,-3.37,7.14,4.19
1160.0,-3.64,-2.92,7.52,4.19
1163.0,-3.37,-2.59,7.52,4.2
1165.0,-3.14,-2.27,7.77,4.19
1168.0,-2.94,-2.15,7.7,4.19
1170.0,-2.87,-2.17,7.64,4.2
1173.0,-2.88,-2.39,7.69,4.18
1175.0,-2.73,-2.56,7.69,4.18
1178.0,-2.73,-2.78,7.67,4.2
1180.0,-2.75,-3.0,7.59,4.18
1183.0,-2.76,-3.15,7.43,4.2
1185.0,-2.76,-3.24,7.5,4.2
1188.0,-2.8,-3.21,7.49,4.19
1190.0,-2.93,-3.1,7.35,4.19
1193.0,-3.07,-2.83,7.8,4.15
1195.0,-3.13,-2.64,7.6,4.19
1198.0,-3.17,-2.66,7.84,4.19
1200.0,-3.06,-2.67,8.06,4.19
1203.0,-2.89,-2.56,8.28,4.2
1212.0,-2.27,-2.46,8.79,4.2
1215.0,-2.25,-2.4,8.91,4.18
1217.0,-2.28,-2.39,9.05,4.19
1220.0,-2.36,-2.57,8.99,4.17
1222.0,-2.39,-2.61,8.96,4.17
1225.0,-2.46,-2.79,9.02,4.19
1227.0,-2.61,-2.85,8.99,4.19
1230.0,-2.77,-2.79,8.96,4.19
1232.0,-2.81,-2.71,8.89,4.19
1235.0,-2.89,-2.6,8.81,4.19
1237.0,-2.97,-2.52,8.69,4.2
1240.0,-3.0,-2.64,8.23,4.19
1242.0,-2.85,-2.61,8.78,4.17
1245.0,-2.79,-2.51,8.89,4.19
1247.0,-2.63,-2.37,8.88,4.17
1250.0,-2.71,-2.21,8.59,4.19
1252.0,-2.66,-2.09,8.76,4.17
