Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
1151.0,-2.78,7.56,4.57,4.2
1154.0,-2.89,7.57,4.54,4.22
1156.0,-2.88,7.64,4.48,4.22
1159.0,-2.89,7.67,4.57,4.21
1161.0,-2.91,7.67,4.61,4.22
1164.0,-2.92,7.66,4.68,4.22
1166.0,-3.02,7.66,4.71,4.2
1169.0,-3.09,7.71,4.87,4.2
1171.0,-3.19,7.68,4.94,4.21
1174.0,-3.31,7.74,4.9,4.21
1176.0,-3.32,7.83,4.93,4.2
1179.0,-3.51,7.83,4.94,4.2
1181.0,-3.57,7.93,4.97,4.2
1184.0,-3.63,7.98,4.95,4.17
1186.0,-3.6,8.0,4.96,4.21
1189.0,-3.6,7.97,4.98,4.22
1191.0,-3.55,8.06,4.92,4.2
1194.0,-3.52,7.99,4.83,4.21
1196.0,-3.39,7.92,4.81,4.22
1199.0,-3.21,7.97,4.74,4.2
1201.0,-3.09,7.99,4.84,4.21
1204.0,-3.0,7.89,4.83,4.21
1206.0,-2.94,7.98,4.84,4.22
1209.0,-2.96,8.06,4.78,4.19
1211.0,-3.03,8.09,4.8,4.22
1214.0,-3.03,8.14,4.94,4.22
1216.0,-3.04,8.18,4.93,4.2
1219.0,-3.16,8.24,5.0,4.21
1221.0,-3.2,8.27,5.09,4.2
1231.0,-3.41,8.22,5.42,4.2
1234.0,-3.49,8.36,5.49,4.2
1236.0,-3.65,8.37,5.49,4.2
1239.0,-3.82,8.35,5.56,4.21
1241.0,-3.88,8.47,5.56,4.22
1244.0,-4.01,8.64,5.53,4.2
1246.0,-4.06,8.72,5.48,4.2
1249.0,-4.13,8.81,5.52,4.2
1251.0,-4.08,8.93,5.53,4.2
1254.0,-4.05,8.91,5.67,4.22
1256.0,-3.95,9.01,5.72,4.22
1259.0,-3.98,9.0,5.82,4.22
1261.0,-3.85,9.0,5.9,4.2
1264.0,-3.82,8.99,6.01,4.2
1266.0,-3.83,9.02,6.01,4.22
1269.0,-3.77,9.11,6.02,4.22
1271.0,-3.87,9.08,6.16,4.2
1274.0,-3.91,9.13,6.22,4.21
1276.0,-3.97,9.09,6.24,4.22
1279.0,-3.96,8.99,6.25,4.21
1281.0,-4.01,9.03,6.19,4.22
1284.0,-3.97,8.97,6.19,4.22
1286.0,-4.05,8.94,6.21,4.17
1289.0,-4.03,8.85,6.31,4.2
1291.0,-4.0,8.9,6.34,4.22
1294.0,-4.03,8.79,6.38,4.2
1296.0,-4.04,8.8,6.41,4.2
1299.0,-3.97,8.79,6.37,4.21
1301.0,-3.97,8.66,6.28,4.22
1304.0,-3.91,8.62,6.26,4.22
