Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
1050.0,-1.5,9.32,2.32,4.19
1053.0,-1.48,9.26,2.44,4.17
1055.0,-1.51,9.28,2.53,4.19
1058.0,-1.46,9.25,2.43,4.2
1060.0,-1.48,9.26,2.45,4.17
1063.0,-1.4,9.26,2.4,4.17
1073.0,-1.39,9.26,2.51,4.19
1075.0,-1.39,9.29,2.47,4.17
1078.0,-1.45,9.33,2.55,4.17
1080.0,-1.29,9.32,2.64,4.17
1083.0,-1.43,9.3,2.58,4.17
1085.0,-1.37,9.31,2.62,4.2
1088.0,-1.35,9.3,2.57,4.17
1090.0,-1.32,9.35,2.56,4.17
1093.0,-1.31,9.39,2.6,4.19
1095.0,-1.3,9.4,2.61,4.17
1098.0,-1.28,9.45,2.7,4.19
1100.0,-1.24,9.51,2.6,4.17
1103.0,-1.36,9.59,2.64,4.19
1105.0,-1.3,9.65,2.67,4.18
1108.0,-1.28,9.68,2.63,4.19
1110.0,-1.29,9.76,2.51,4.17
1113.0,-1.27,9.82,2.61,4.19
1115.0,-1.26,9.83,2.65,4.19
1118.0,-1.25,9.9,2.64,4.17
1120.0,-1.23,9.92,2.6,4.17
1123.0,-1.26,10.04,2.59,4.17
1125.0,-1.24,10.06,2.55,4.18
1128.0,-1.17,10.1,2.53,4.19
1130.0,-1.21,10.09,2.55,4.17
1132.0,-1.12,10.15,2.53,4.17
1135.0,-1.14,10.22,2.58,4.19
1137.0,-1.06,10.24,2.63,4.17
1140.0,-1.13,10.23,2.62,4.17
1142.0,-1.06,10.31,2.48,4.17
1145.0,-1.01,10.4,2.49,4.16
1147.0,-1.04,10.44,2.55,4.16
1150.0,-1.0,10.47,2.52,4.17
1152.0,-1.01,10.5,2.47,4.19
1162.0,-1.08,10.6,2.51,4.19
1165.0,-1.1,10.58,2.46,4.17
1167.0,-1.14,10.54,2.42,4.19
1170.0,-1.11,10.57,2.46,4.16
1172.0,-1.17,10.61,2.38,4.17
1175.0,-1.16,10.67,2.37,4.19
1177.0,-1.04,10.63,2.37,4.19
1180.0,-1.13,10.69,2.38,4.17
1182.0,-1.1,10.68,2.47,4.17
1185.0,-1.16,10.62,2.5,4.17
1187.0,-1.21,10.56,2.42,4.19
1190.0,-1.23,10.55,2.25,4.17
1192.0,-1.32,10.49,2.4,4.19
1195.0,-1.31,10.46,2.4,4.17
1197.0,-1.32,10.48,2.39,4.17
1200.0,-1.35,10.47,2.36,4.17
1202.0,-1.39,10.38,2.38,4.17
1205.0,-1.39,10.42,2.38,4.19
1207.0,-1.44,10.37,2.39,4.17
1210.0,-1.5,10.4,2.41,4.17
1212.0,-1.55,10.35,2.37,4.19
1215.0,-1.44,10.29,2.34,4.17
1217.0,-1.53,10.33,2.37,4.17
1220.0,-1.6,10.24,2.35,4.17
1222.0,-1.6,10.23,2.32,4.17
1225.0,-1.58,10.17,2.36,4.17
1235.0,-1.66,10.05,2.39,4.19
1237.0,-1.61,9.96,2.32,4.19
1240.0,-1.65,9.9,2.32,4.17
1242.0,-1.65,9.82,2.26,4.17
1245.0,-1.67,9.87,2.36,4.17
1247.0,-1.6,9.85,2.37,4.15
1250.0,-1.62,9.76,2.33,4.19
1252.0,-1.53,9.75,2.44,4.17
1255.0,-1.6,9.67,2.39,4.17
1257.0,-1.74,9.58,2.38,4.17
1260.0,-1.68,9.59,2.35,4.17
1262.0,-1.57,9.5,2.42,4.19
1265.0,-1.59,9.45,2.47,4.19
1267.0,-1.58,9.42,2.47,4.17
1270.0,-1.63,9.39,2.44,4.19
1272.0,-1.73,9.27,2.51,4.17
1275.0,-1.72,9.26,2.4,4.17
1277.0,-1.62,9.14,2.42,4.19
1280.0,-1.57,9.04,2.41,4.19
1282.0,-1.47,9.03,2.5,4.19
1285.0,-1.54,9.07,2.4,4.17
1287.0,-1.59,8.98,2.38,4.17
1290.0,-1.56,8.83,2.32,4.17
1292.0,-1.54,8.77,2.35,4.17
1295.0,-1.46,8.71,2.34,4.17
1297.0,-1.4,8.6,2.31,4.17
1300.0,-1.42,8.58,2.36,4.17
1302.0,-1.42,8.46,2.4,4.17
1305.0,-1.37,8.48,2.36,4.17
1307.0,-1.44,8.4,2.4,4.17
1310.0,-1.38,8.32,2.38,4.17
1312.0,-1.36,8.34,2.41,4.19
1315.0,-1.37,8.23,2.44,4.17
1317.0,-1.31,8.27,2.53,4.17
1327.0,-1.11,8.09,2.46,4.19
1330.0,-1.09,8.04,2.45,4.17
1332.0,-1.07,7.99,2.45,4.17
1335.0,-1.12,8.05,2.38,4.19
1337.0,-1.06,8.05,2.4,4.17
1340.0,-1.0,8.06,2.27,4.19
1342.0,-1.02,8.05,2.34,4.17
1345.0,-1.07,8.05,2.27,4.17
